X_1,X_2,X_3,X_4,X_5,Y,E
1.4107,9.14,0.73,0.0896,0.0928,0.19,1
1.2007,6.58,0.24,0.0496,0.0328,0.12,1
0.7807,7.09,0.32,0.0596,0.0328,0.1,1
1.1007,6.43,0.31,0.0396,0.0428,0.09,1
0.6907,4.66,0.23,0.0496,0.0228,0.09,1
0.9607,4.08,0.19,0.0296,0.0128,0.11,1
0.9207,7.48,0.27,0.0496,0.0628,0.12,1
0.9107,4.59,0.27,0.0496,0.0228,0.15,1
1.2007,5.95,0.34,0.0496,0.0428,0.13,1
0.8807,4.53,0.25,0.0396,0.0228,0.1,1
1.2107,10.38,0.32,0.0896,0.0828,0.16,1
1.2707,8.43,0.18,0.0496,0.0428,0.1,1
0.8707,4.98,0.3,0.0296,0.0328,0.11,1
1.1607,7.66,0.28,0.0496,0.0528,0.13,1
