X_1,X_2,X_3,X_4,X_5,Y,E
0.9707,6.89,0.15,0.0496,0.0728,0.11,1
0.9507,6.61,0.1,0.0696,0.1028,0.1,1
0.9207,7.03,0.42,0.0396,0.0528,0.11,1
1.0907,8.03,0.26,0.0596,0.1028,0.17,1
1.1407,7.24,0.4,0.0596,0.0528,0.16,1
0.7207,3.72,0.11,0.0496,0.0528,0.11,1
0.8607,5.13,0.05,0.0496,0.1428,0.08,1
0.7907,5.63,0.17,0.0396,0.0528,0.06,1
0.7207,6.93,0.07,0.0396,0.0928,0.07,1
1.2107,6.04,0.12,0.0396,0.0828,0.09,1
0.9607,6.97,0.27,0.0496,0.0928,0.08,1
1.0707,10.17,0.18,0.0696,0.0928,0.09,1
0.7707,4.49,0.22,0.0496,0.0628,0.06,1
1.0707,5.79,0.11,0.0396,0.0828,0.1,1
