X_1,X_2,X_3,X_4,X_5,Y,E
1.5107,5.32,0.2,0.0496,0.1028,0.1,1
0.9807,4.46,1.1,0.0396,0.0428,0.03,1
0.8607,6.23,0.18,0.0396,0.0728,0.06,1
1.2907,7.81,0.3,0.0396,0.1128,0.07,1
0.6707,5.12,0.15,0.0296,0.0428,0.05,1
0.7407,5.4,0.28,0.0396,0.0628,0.08,1
0.7707,5.39,0.11,0.0396,0.0528,0.06,1
0.7007,4.02,0.2,0.0296,0.0528,0.07,1
1.0807,6.04,0.16,0.0496,0.1328,0.05,1
1.1407,6.45,0.25,0.0396,0.1228,0.07,1
0.8407,6.92,0.09,0.0496,0.1128,0.05,1
0.7707,5.01,0.07,0.0396,0.0628,0.04,1
1.2307,7.74,0.28,0.0596,0.1228,0.05,1
0.9207,7.24,0.21,0.0296,0.0828,0.08,1
