X_1,X_2,X_3,X_4,X_5,Y,E
1.5307,7.15,0.38,0.0696,0.1028,0.2,1
1.4007,7.78,0.47,0.0696,0.0828,0.15,1
1.2207,3.4,0.37,0.0196,0.0228,0.08,1
0.9507,6.02,0.23,0.0496,0.0328,0.08,1
1.0407,5.01,0.18,0.0396,0.0328,0.12,1
0.5207,2.98,0.07,0.0296,0.0228,0.06,1
0.5307,2.97,0.11,0.0196,0.0228,0.06,1
1.1107,7.15,0.17,0.0296,0.0728,0.11,1
0.7607,5.15,0.29,0.0296,0.0428,0.09,1
0.9207,5.56,0.2,0.0296,0.0728,0.08,1
1.1007,5.79,0.28,0.0296,0.0328,0.09,1
0.9807,6.98,0.26,0.0396,0.1028,0.1,1
0.9207,5.16,0.29,0.0296,0.0628,0.12,1
0.7307,4.7,0.27,0.0296,0.0328,0.09,1
