X_1,X_2,X_3,X_4,X_5,Y,E
1.1207,6.73,0.4,0.0496,0.0628,0.18,1
1.0307,6.88,0.52,0.0496,0.0428,0.11,1
1.1007,7.4,0.56,0.0696,0.0428,0.16,1
0.8807,5.21,0.14,0.0696,0.0628,0.08,1
1.2807,7.28,0.39,0.0696,0.0728,0.18,1
0.7707,5.11,0.14,0.0396,0.0528,0.07,1
0.9907,6.54,0.22,0.0696,0.0728,0.14,1
0.8507,6.3,0.22,0.0596,0.0828,0.08,1
0.9507,7.22,0.39,0.0296,0.0528,0.1,1
1.1707,7.43,0.29,0.0396,0.0428,0.11,1
0.9107,7.39,0.28,0.0496,0.0628,0.1,1
1.0807,7.16,0.46,0.0496,0.0328,0.12,1
1.1307,7.95,0.59,0.0496,0.0628,0.11,1
